;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
578,000;0,052179;626,000;0,011408;528,000;0,35928;
578,500;0,051243;626,500;0,011267;528,500;0,35612;
579,000;0,050321;627,000;0,011089;529,000;0,3528;
579,500;0,049478;627,500;0,010871;529,500;0,34933;
580,000;0,048685;628,000;0,010638;530,000;0,34573;
580,500;0,047868;628,500;0,0104;530,500;0,34205;
581,000;0,047019;629,000;0,010161;531,000;0,33838;
581,500;0,046169;629,500;0,0099361;531,500;0,33477;
582,000;0,045357;630,000;0,0097135;532,000;0,33123;
582,500;0,044604;630,500;0,0094777;532,500;0,32771;
583,000;0,043904;631,000;0,0091974;533,000;0,32415;
583,500;0,043233;631,500;0,0088804;533,500;0,32056;
584,000;0,042543;632,000;0,0085818;534,000;0,31694;
584,500;0,041797;632,500;0,0083539;534,500;0,3133;
585,000;0,041001;633,000;0,0082098;535,000;0,30966;
585,500;0,040213;633,500;0,0080998;535,500;0,30606;
586,000;0,039476;634,000;0,0079714;536,000;0,3025;
586,500;0,038777;634,500;0,007809;536,500;0,29898;
587,000;0,038066;635,000;0,0076283;537,000;0,29546;
587,500;0,03735;635,500;0,0074528;537,500;0,29191;
588,000;0,036688;636,000;0,0072799;538,000;0,28828;
588,500;0,036108;636,500;0,0070965;538,500;0,28452;
589,000;0,035559;637,000;0,0068948;539,000;0,2806;
589,500;0,034989;637,500;0,0067036;539,500;0,27654;
590,000;0,034388;638,000;0,0065411;540,000;0,27246;
590,500;0,033776;638,500;0,0064023;540,500;0,26843;
591,000;0,03314;639,000;0,0062661;541,000;0,26445;
591,500;0,03244;639,500;0,0061351;541,500;0,2604;
592,000;0,031687;640,000;0,0060303;542,000;0,25612;
592,500;0,030964;640,500;0,0059543;542,500;0,25155;
593,000;0,030361;641,000;0,0058889;543,000;0,24677;
593,500;0,029882;641,500;0,0057946;543,500;0,24184;
594,000;0,029448;642,000;0,0056479;544,000;0,23685;
594,500;0,028955;642,500;0,005475;544,500;0,23186;
595,000;0,028371;643,000;0,0053309;545,000;0,2269;
595,500;0,027723;643,500;0,0052497;545,500;0,22198;
596,000;0,027078;644,000;0,0052156;546,000;0,21712;
596,500;0,026484;644,500;0,0051789;546,500;0,21232;
597,000;0,025956;645,000;0,0050846;547,000;0,2076;
597,500;0,025465;645,500;0,0049275;547,500;0,20304;
598,000;0,024991;646,000;0,0047572;548,000;0,19868;
598,500;0,024524;646,500;0,0046498;548,500;0,19454;
599,000;0,024048;647,000;0,0046288;549,000;0,19059;
599,500;0,023536;647,500;0,0046472;549,500;0,18685;
600,000;0,022971;648,000;0,0046367;550,000;0,18332;
600,500;0,022368;648,500;0,0045686;550,500;0,17993;
601,000;0,021769;649,000;0,0044612;551,000;0,17655;
601,500;0,021225;649,500;0,0043538;551,500;0,17308;
602,000;0,020781;650,000;0,0042647;552,000;0,16953;
602,500;0,020441;650,500;0,0041966;552,500;0,166;
603,000;0,020148;651,000;0,0041521;553,000;0,16256;
603,500;0,019838;651,500;0,0041232;553,500;0,1593;
604,000;0,019486;652,000;0,0040918;554,000;0,15624;
604,500;0,019096;652,500;0,0040447;554,500;0,15336;
605,000;0,018674;653,000;0,0039818;555,000;0,15058;
605,500;0,018218;653,500;0,0039137;555,500;0,14779;
606,000;0,017773;654,000;0,0038587;556,000;0,14499;
606,500;0,017381;654,500;0,003801;556,500;0,14225;
607,000;0,017052;;;557,000;0,13963;
